label,text
3,"Menika, eyang kakung dipunaturi siram rumiyin!"
0,Neng-na ae!
1,Panjenengan enengake wae!
2,Sampeyan kendelaken kemawon!
3,Panjenengan kendelaken kemawon!
0,"Mrenea, age!"
2,"Sampeyan mriki, enggal!"
0,"Amarga arep udan, Mas Tana age-age mulih."
2,"Amargi badhe jawah, Mas Tana enggal-enggal mantuk."
0,"Yen wis wayah bengi, aja lunga dhewekan!"
2,"Yen sampun wanci dalu, sampun kesah piyambakan!"
0,"Aja dadi ati, sesuk aku ora teka!"
1,"Aja dadi panggalih, sesuk adalem ora teka!"
2,"Sampun dados manah, benjing-enjing kula boten dhateng!"
3,"Sampun dados panggalih, benjing-enjing adalem boten dhateng!"
0,Mbak Srini mangan pecel ajange pincuk.
1,Mbak Srini dhahar pecel ambenge pincuk.
2,Mbak Srini nedha pecel ajangipun pincuk.
3,Mbak Srini dhahar pecel ambengipun pincuk.
0,"Koran-koran iki isih ana ajine, lumpukna!"
2,"Koran-koran menika taksih wonten aosipun, sampeyan lempakaken!"
0,Anoman nggempur gunung nganggo aji Mundri.
2,Anoman nggempur redi ngangge aji Mundri.
0,Lemarine diadhepake mangulon.
2,Lemantunipun dipunajengaken mangilen.
0,Mahasiswa sing arep KKN diadhepake Pak Camat.
2,Mahasiswa ingkang badhe KKN dipunadhepaken Pak Camat.
0,Mbak Tini duwe adhi loro.
1,Mbak Tini kagungan rayi loro.
2,Mbak Tini gadhah adhi kalih.
3,Mbak Tini kagungan rayi kalih.
0,"Adhuh, nggonmu njupukake sega kakehen, dielongi sathithik!"
2,"Adhuh, enggen sampeyan mendhetaken sekul kekathahen, dipunelongi sakedhik!"
0,"Sambele pedhes banget, aja akeh-akeh anggone njupuk!"
2,"Sambelipun pedhes sanget, ampun kathah-kathah anggenipun mendhet!"
0,Tana akon Pak Parman supaya lungguh sadhela.
1,Tana ngaturi Pak Parman supaya pinarak sadhela.
2,Tana aken Pak Parman supados lenggah sakedhap.
3,Tana ngaturi Pak Parman supados pinarak sakedhap.
0,Pak Parman akon Tana supaya ngancani anake.
1,Pak Parman dhdwuh Tana supaya ngancani putrane.
2,Pak Parman aken Tana supados ngancani anakipun.
3,Pak Parman dhawuh Tana supados ngancani putranipun.
0,"Jeng Tini, mau aku ketemu bojomu."
1,"Jeng Tini, mau adalem ketemu ingkang garwa."
2,"Jeng Tini, wau kula kepanggih semah sampeyan."
3,"Jeng Tini, wau adalem kepanggih ingkang garwa."
0,"Adhuh, jangane kakean uyah, asin banget!"
2,"Adhuh, janganipun kekathahen sarem, asin sanget!"
0,"Sanajan alurane rada adoh, ala-ala,aku iki isih bapa pamanmu"
2,"Sanajna aluranipun radi tebih, awon-awon kula menika taksih bapa paman sampeyan"
0,"Sing luput iku akeh, aja mung aku sing dadi alan-alan"
2,"Ingkang lepat menika kathah, sampun namung kula ingkang dados awon-awonan"
0,"Bijiku akeh sing wolu utawa sanga, ala-alane pitu"
2,"Biji kula kathah ingkang wolu utawi sanga, awon-awonipun pitu"
0,"Aja nganti ana biji lima, supaya ora ngalan-ngalani rapor!"
2,"Sampun ngantos wonten biji gangsal, supados boten ngawon-awoni rapor!"
0,"Saala-alane klambiku, ora ana sing suwek."
2,"Saawon-awonipun rasukan kula, boten wonten ingkang suwek."
0,Saala-alane omah ing desa kene ya duwekku iki.
2,Sawon-awonipun griya ing dhusun ngriki inggih gadhahan kula menika
0,"Yen tanpa alangan, suk dina Minggu aku arep mulih"
2,Yen tanpa pambengan benjing dinten Minggu kula badhe mantuk.
0,Kalangan adu jago ing desaku digroyok polisi.
2,Kambengan aben sawung ing dhusun kula dipun-groyok polisi.
0,Daraku sajodho kalangan ing awang-awang.
2,Dara kula sajodho kalangan ing awang-awang.
0,"Arep liwat kene kalangan kali, ayo liwat kana wae!"
2,"Badhe langkung ngriki kapambengna lepen, mangga langkung ngrika kemawon!"
0,Adhimu iku alise nanggal sapisan.
1,Ingkang rayi iku imbane nanggal sapisan.
2,Adhi sampeyan menika alisipun nanggal sapisan.
3,Ingkang rayi menika imbanipun nanggal sapisan.
0,"Rambutmu ambune kok wangi, nganggo sampo apa?"
1,"Rikma panjenengan gandane kok wangi, ngagem sampo apa?"
2,"Rambut sampeyan ambetipun kok wangi, ngangge sampo menapa?"
3,"Rikma panjenengan gandanipun kok wangi, ngagem sampo menapa?"
0,Butane kambon entute Semar gebres-gebres
2,Denawanipun kambetan entutipun Semar gebres-gebres.
0,Awakku rada ndhredheg amarga nganti jam telu durung kambon upa.
2,Badan kula radi ndhredheg amargi ngantos jam tiga dereng kambetan upa.
0,"Wah, aku mambu lenga wangi, apa kowe sing nganggo?"
2,"Wah, kula mambet lisah wangi, menapa sampeyan ingkang ngangge?"
0,"Jangan kuwi wis mambu, aja dipangan!"
2,"Jangan menika sampun mambet, sampun dipuntedha!"
0,"Duwe pakel mung siji, tiwas dadi ambon-ambon."
2,"Gadhah pakel namung satunggal, tiwas dados ambet-ambetan."
0,"Mangan duren wis saminggu kapungkur, nganti saiki isih ambu-ambunen."
2,"Nedha duren sampun saminggu kepengker, ngantos samenika taksih ambet-ambetan."
0,"Trasine aja disimpen lemari makan, mundhak ngambon-amboni!"
2,"Trasinipun sampun dipunsimpen ing lemantun makan, mindhak ngambet-ambeti!"
0,"Putune wadon dijungkati, dipupuri banjur diambung."
1,"Wayahe putri dipethati, ditasiki banjur diaras."
2,"Putunipun estri dipunserati, dipunpupuri lajeng dipunambung."
3,"Wayahipun putri dipunpethati, dipuntasiki lajeng dipunaras."
0,Bu Dewi amek kembang ing ngarep omah.
1,Bu Dewi mundhut kembang ing ngarep omah.
2,Bu Dewi mendhet sekar ing ngajeng griya.
3,Bu Dewi mundhut sekar ing ngajeng dalem.
0,Pak Parman amek iwak ana ing kali.
2,Pak Parman pados ulam wonten ing lepen.
0,"Amit-amit, dak-mbenerake gelunganmu!"
1,"Kula nuwun sewu, adalem mbenerake ukel panjenengan!"
2,"Amit-amit, kula ngleresaken gelungan sampeyan!"
3,"Kula nuwun sewu, adalem ngleresaken ukel panjenengan!"
0,Mas Warna mlaku-mlaku mampir ing omahe Mbak Warni
1,Mas Warna tindak-tindak pinarak ing daleme Mbak Warni
2,Mas Warna mlampah-mlampah mampir ing griyanipun Mbak Warni
3,Mas Warna tindak-tindak pinarak ing dalemipun Mbak Warni
0,"Aku arep nyumbang bata, ana dene kowe pantese semen!"
2,"Kula badhe nyumbang banon, wondening sampeyan pantesipun semen!"
0,Ana ing Bale RT arep dianani latihan tembang macapat.
2,Wonten ing Bale RT badhe dipunwonteni latihan sekar macapat.
0,"Pit kae tukunen, kaanane isih apik!"
2,"Pit menika sampeyan tumbas, kawontenanipun taksih sae!"
0,Kaanan moneter nagarane dhewe saya becik.
2,Kawontenan moneter nagarinipun piyambak saya sae.
0,"Lemarine kothong, ing njerone wis ora ana-ana."
2,"Lemantunipun kothong, ing nglebetipun sampun boten wonten-wonten."
0,"Kabutuhane sekolah ana-ana wae, dhek wingi buku, mau esuk garisan, saiki tas."
2,"Kabetahanipun sekolah wonten-wonten kemawon, kala wingi buku, wau enjing penggaris, samenika tas."
0,"Dhayohe mung kancaku, enggone nyuguh ora perlu dianak-anake."
2,"Tamunipun namung kanca kula, enggenipun nyegah boten perlu diwonten-wontenaken!"
0,Mobil tunggangana wae!
1,Mobil adalem panjenengan tithi wae!
2,Mobil kula sampeyan tumpaki kemawon!
3,Mobil adalem panjenengan titihi kemawon!
0,"Ditunggangana mesthi kepenak, amarga mobilku kuwi anyar."
1,"Dititihana mesthi kepenak, amarga mobil adalem kuwi anyar."
2,"Dipuntumpakanan mesthi sakeca, amargi mobil kula menika enggal."
3,"Dipuntitihana mesti sakeca, amargi mobil adalem menika enggal."
0,Saiki Bu Endah wis duwe anak loro.
1,Saiki Bu Endah wis kagungan putra loro
2,Sameniko Bu Endah sampun gadhah anak kalih.
3,Samenika Bu Endah sampun kagungan putra kalih.
0,"Prayogane utang ana ing bank wae, anakane sathitik!"
2,"Prayoginipun nyambut wonten ing bank kemawon, saremanipun sakedhik!"
0,Dheweke iku gemati banget marang anake.
1,Panjenengane iku gemati banget marang putrane. 
2,Piyambakipun menika gematos sanget dhateng anakipun.
3,Panjenenganipun menika gematos sanget dhateng putranipun. 
0,Kowe rak durung weruh anakku ta?
1,Panjenengan rak durung priksa anak adalem ta?
2,Sampeyan rak dereng semerep anak kula ta?
3,Panjenengan rak dereng priksa anak adalem ta?
0,Dheweke seneng atine kelakon nduwe anak lanang.
1,Panjenengane rena panggalihe kelakon kagungan putra kakung.
2,Piyambakipun rena manahipun kelampahan gadhah anak jaler.
3,Panjenenganipun rena panggalihipun kelampahan kagungan putra kakung.
0,"Wah, anakmu wis pinter guneman!"
1,"Wah, putra panjenengan wis pinter ngandikan! "
2,"Wah, anak sampeyan sampun pinter gineman!"
3,"Wah, putra panjenengan sampun pinter ngandikan! "
0,Anake pambarep iku wadon.
1,Putrane pambarep iku putri.
2,Anakipun pambajeng menika estri.
3,Putranipun pambajeng menika putri.
0,Ayo ndang adus selak wengi!
2,"Mangga, ndang (enggal) adus, selak dalu!"
1,"Sing jejeg pangandel panjenengan, Gusti Kang Mahaasih mesthi bakal paring pitulungan!"
3,"Ingkang jejeg kapitadosan panjenengan, Gusti Inkgang Mahaasih mesthi badhe paring pitulungan!"
0,Gapurane dak-tulisan aksara Jawa!
2,Gapuranipun kula seratanipun aksara Jawi!
0,Jaran-jaranane digawe saka papah dedhang.
2,Kapal-kapalanipun dipundamel saking papah pisang.
0,Tinah ani-ani ana ing sawah.
2,Tinah mugut wonten ing sabin.
0,Tinah nggawa ani-ani kanggo ani-ani.
2,Tinak mbekta pugut kangge mugut.
0,"Keris iki anggon, ora daksilihake marang sapa wae."
2,"Dhuwung menika anggen, boten kula sambutaken dhateng sinten kemawon."
0,Kowe yen manganggo cara Jawa katon mundhak enom.
1,Panjenengan yen mangagem cara Jawa katon mundhak timur.
2,Sampeyan yen mangangge cara Jawi katingal mindhak enem.
3,Panjenengan yen mangagem cara Jawi katingal mindhak timur.
0,Anggon-anggon joged Golek sing arep disilih wis dakcawisake.
1,Pangageman beksa Golek sing arep dipundhut-ngampil wis adalem caosake.
2,Anggen-anggen joged Golek ingkang badhe dipunsambut sampun kula cawisaken.
3,Pangageman beksa Golek ingkang badhe dipunpundhut-ngampil sampun adalem caosaken.
0,Dheweke iku ora gelem nganggo-anggo sing modhel-modhel.
1,Panjenengane iku ora kersa ngagem-agem sing modhel-modhel.
2,Piyambakipun menika boten purun ngangge-angge ingkang modhel-modhel.
3,Panjenenganipun menika boten kersa ngagem-agem ingkang modhel-modhel.
0,Anggone nulis ana ing ngendi? 
2,Anggenipun nyerat wonten ing pundi? 
0,Anggonmu turu apa kemulan jarit?
1,Anggon panjenengan sare apa singeban nyamping?
2,Anggen sampeyan tilem menapa kemulan sinjang?
3,Anggen panjenengan sare menapa singeban nyamping?
0,Anggonku nyilih piring kabeh ana rong Iosin.
1,Anggon adalem nyuwun ngampil ambengan kabeh ana rong Iosin.
2,Anggen kula nyambut lancaran sadaya wonten kalih Iosin.
3,Anggen adalem nyuwun ngampil ambengan sadaya wonten kalih Iosin.
0,Apa ana wit gedhang awoh gori? 
2,Menapa wonten wit pisang awoh gori?
0,"Tokone swalayan pepak banget, wis ta, apa-apa ana!"
2,"Tokonipun swalayan pepak sanget, sampun ta, menapa-menapa wonten!"
0,"Murid-murid klas lima, apa dene gurune gumrudug padha ndeleng sulapan."
2,"Murid-murid klas gangsal, menapa dene gurunipun gumrudug sami ningali sulapan. "
0,"Lagi gurune wae gumun ndeleng sulapan iku, apa maneh muride."
2,"Saweg gurunipun kemawon gumun ningali sulapan menika, menapa malih muridipun. "
0,Ndeleng film lagi apik-apike dumadakan listrike mati.
2,Ningali film saweg sae-saenipun dumadakan listrikipun pejah.
0,"Sanajan wis wareg, apik-apike ngguyubana mangan!"
2,"Sanajan sampun tuwuk, sae-saenipun sampeyan ngguyubi nedha!"
0,"Wah, nulis layang marang pacangane, mula diapik-apik!"
2,"Wah, nyerat serat dhateng pacanganipun, mila dipunsesae!"
0,Pegawean iki diarah supaya ndang rampung.
2,Pedamelan menika dipunangkah supados enggal rampung.
0,Jaman komputer mangkene iki wis arang-arang mesin tik.
2,Jaman komputer makaten menika sampun awis-awis mesin tik.
0,Bapak arep lunga menyang sawah.
2,Bapak badhe kesah dhateng sabin.
0,"Aku duwe pelem, apa kowe arep?"
1,"Adalem duwe pelem, apa panjenengan kersa?"
2,"Kula gadhah pelem, menapa sampeyan ajeng?"
3,"Kula gadhah pelem, menapa panjenengan kersa?"
0,Sawise anake lair ari-arine uga banjur metu.
1,Sawise ingkang putra miyos tuntunane uga banjur metu.
2,"Sasampunipun anakipun lair, ari-arinipun ugi lajeng medal."
3,"Sasampunipun ingkang putra miyos, tuntunanipun ugi lajeng medal."
0,"Sanajan lelungan adoh, sing mantep wae atimu."
1,"Sanajan tindakan adoh, sing mantep wae panggalih panjenengan!"
2,"Sanajan kekesahan tebih, ingkang mantep kemawon manah sampeyan!"
3,"Sanajan tindakan tebih, ingkang mantep kemawon panggalih panjiningan!"
0,"Aku iki juragan ati sapi lan wedhus, aja koksetori ati gori karo kluwih."
2,"Kula menika juragan ati lembu lan menda, sampun sampeyan setori ati gori kaliyan kluwih!"
0,Aku arep ngaturake lapuran panaliten marang Bapak Rektor.
1,Adalem arep ngonjukake lapuran panaliten marang Bapak Rektor.
2,Kula badhe ngaturaken lapuran panaliten dhateng Bapak Rektor.
3,Adalem badhe ngonjukaken lapuran panaliten dhateng Bapak Rektor.
0,"Dheweke iku doyan mangan, mula awake lemu."
1,"Panjenengane iku kersa dhahar, mula salirane sugeng."
2,"Piyambakipun menika ajeng nedha, mila badanipun lema."
3,"Panjenenganipun menika kersa dhahar, mila saliranipun sugeng."
0,Enggone njupuk dhuwit ing bank prayoga awakana dhewe!
1,Enggone mundhut dhuwit ing bank prayoga panjenengan salirani dhewe!
2,Enggenipun mendhet arta ing bank prayogi sampeyan awaki piyambak!
3,Enggenipun mundhut arta ing bank prayogi panjenengan salirani piyambak!
0,"Ayo awake dhewe siyaga, dhayoh saka Jakarta wis meh teka!"
1,"Sumangga kula panjenengan siyaga, dhayoh saka Jakarta wis meh rawuh!"
2,"Mangga awakipun piyambak siyaga, tamu saking Jakarta sampun meh dumugi!"
3,"Sumangga kula panjenengan siyaga, tamu saking Jakarta sampun meh rawuh!"
0,Saawan dheweke mepeni pari nganti awake ireng.
2,Sasiyang piyambakipun mepeni pantun ngantos badanipun cemeng.
0,"Aku mung bisa aweh jam iki, anggonen!"
1,"Adalem mung bisa nyaosi jam iki, panjenengan agem!"
2,"Kula namung saged nyukani jam menika, sampeyan angge!"
3,"Adalem namung saged nyaosi jam menika, panjenengan agem!"
0,Aku aweh kabar kaslametan marang dheweke
1,Adalem ngaturi kabar kaslametan marang panjenengane
2,Kula nyukani kabar kawilujengan dhateng piyambakipun
3,Adalem ngaturi kabar kawilujengan dhateng panjenenganipun
0,Pak Nata aweh pawarta kaslametan marang adhine.
1,Pak Nata maringi pawarta kasugengan marang ingkang rayi.
2,Pak Nata nyukani pawartos kawilujengan dhateng adhinipun.
3,Pak Nata maringi pawartos kasugengan dhateng ingkang rayi.
0,Omahe Pak Purba sing pinggir dalan wis aweh dak tuku.
1,Daleme Pak Purba sing pinggir dalan wis kepareng adalem tuku.
2,Griyanipun Pak Purba ingkang pinggir margi sampun angsal kula tumbas.
3,Dalemipun Pak Purba ingkang pinggir margi sampun kepareng adalem tumbas.
0,"Jeng Srini, ayo lungguh kene sadhela!"
1,"Jeng Srini, sumangga pinarak kene sadhela!"
2,"Jeng Srini, mangga lenggah ngriki sakedhap!"
3,"Jeng Srini, sumangga pinarak ngriki sakedhap!"
0,Iku werdine tembang sing dak-waca ing ngarep.
2,Menika werdinipun tembang ingkang kula waos ing ngajeng.
1,Ingkang eyang wis seba ing ngarsane Pangeran.
3,Ingkang eyang sampun sowan ing ngarsanipun Pangeran.
0,"Anakmu wis angob wae, ayo diajak turu!"
1,"Ingkang putra wis nggraita wae, sumangga diajak sare!"
2,"Anak sampeyan sampun angob kemawon, mangga dipunajak tilem!"
3,"Inkang utra sampun nggraita kemawon, sumangga dipunajak sare!"
0,Yu Minah yen ana ing pasar kesuwen anggone anyang-anyang. 
2,Yu Minah yen wonten peken kedangon anggenipun ngawis-ngawis.
0,"Apa wae disulap, kertas dadi kembang, kacu dadi manuk, tali dadi bonekah."
2,"Menapa kemawon dipunsulap, kertas dados sekar, kacu dados peksi, tangsul dados bonekah."
0,Pit-motor apik-apik kaya mengkene kok diarani rusak.
2,Pit motor sae-sae kados menika kok dipunwastani risak.
0,"Kepriye kabare anak bojomu, apik-apik wae ta?"
2,"Kadosnipun kabaripun anak semah sampeyan, sae-sae kemawon ta?"
0,Calon bojomu kae arane sapa?
1,"Calon ingkang garwa kae, asmane sapa?"
2,Calon semah sampeyan menika namanipun sinten?
3,Calon ingkang garwa menika asmanipun sinten?
0,Tana iku mula cocog yen diarani bocah pinter.
2,Tana menika mila cocog yen dipunwastani lare pinter.
0,"Pagere digawe arang wae, amarga pringe kari sathithik."
2,"Pageripun dipundamel awis kemawon, amargi delingipun kantun sakedhik."
0,"Saiki pager saka pring iku wis arang, ya mung kene iki."
2,"Samenika pager saking deling menika sampun awis, inggih namung ngriki menika."
0,"Yen dikon mangan arepa, mundhak dheweke gela!"
1,"Yen diaturi dhahar panjenengan kersa, mundhak dheweke gela!"
2,"Yen dipun-ken nedha sampeyan ajeng, mindhak piyambakipun gela!"
3,"Yen dipunaturi dhahar panjenengan kersa, mindhak piyambakipun gela!"
0,"Arepa wes wareg, mangana sathithik kanggo ngguyubi."
2,"Badhea sampun tuwuk, sampeyan nedha sakedhik kangge ngguyubi."
0,"Aku iku arepan, lawuh apa wae ora nampik."
2,"Kulo menika ajengan, lawuh mneapa kemawon boten nampik."
0,Aku arep matur ana ing ngarepmu kabeh.
1,Adalem arep munjuk ana ing ngarsa panjenengan kabeh.
2,Kula badhe matur wonten ingn ngajeng sampeyan sadaya.
3,Adalem badhe munjuk wonten ing ngarsa panjenengan sadaya.
0,Dhayoh sing ana ing ngarepan kae sapa?
2,tamu ingkang woonten ing ngajengan menika sinten?
0,"Wah, anakmu kae pinter, bagus, gek aten-atene becik."
1,"Wah, ingkang putra kae pinter, bagus , gek panggalihe becik."
2,"Wah, anak sampeyan menika pinter, bagus, gek memanahanipun sae."
3,"Wah, ingkang putra menika pinter, bagus, gek panggalihanipun sae."
0,"Gedheg aten-aten iku murah, nanging ora awet."
2,"Gedheg aten-aten menika mirah, nanging boten awet."
0,"Ngati-ati! Aja nganti keplesed, dalane lunyu banget."
2,"Ngatos-atos! Sampun ngats keplesed, marginipun lunyu sanget."
0,"Ngati-atia anggone nyebrang, ndeleng kiwa tengen, akeh mobil!"
1,"Panjenengan ngati-ati anggone nyebrang, mriksani kiwa tengen, akeh mobil!"
2,"Sampeyan ngatos-atos anggenipun nyebrang, ningali kiwa tengen, kathah mpbil!"
3,"Panjenengan ngatos-atos anggenipun nyebrang, ningali kiwa tengen, kathah mobil!"
0,"Wingi ngati-atia anggone ngecakake dhuwit, sanajan entek nanging temanja."
2,"Wingi ngatos-atosa anggenipun ngecakaken arta, sanajan telas nanging temanja."
0,"Wiwit mau Bu Nata atob wae, jarenen wetenge kembung."
1,"Wiwit mau Bu nta segu wae, ngandikane padharene kembung."
2,"Wiwit mau Bu Nata atob kemawon, criyosipun wetengipun kembung."
3,"Wiwit mau Bu Nata segu kemawon, ngandikanipun padharanipun kembung."
0,Pamikiranmu iku prayoga katur bapak bupati wae.
1,Panggalihan panjenengan iku prayoga konjuk bapak bupati wae!
2,Pamanahan sampeynan menika prayogi katur bapak bupati kemawon!
3,Panggalihan panjenengan prayogi konjuk bapak bupati kemawon!
0,Enggone menehi uleman marang para kanca dak awakane dhewe!
1,Enggone nyaosi uleman marang para kanca adalem awakane dhewe!
2,Enggenipun nyukani uleman dhateng para kanca kula awakanipun piyambak!
3,Enggenipun nyaosi uleman dhateng para kanca adalem awakanipun piyambak!
0,Ibu kepala sekolah gelem ngawaki dhewe ngupakara petamanan.
1,Ibu Kepala Sekolah kersa nyalirani dhewe ngupakara petamanan.
2,Ibu Kepala Sekolah purun ngawaki piyambak ngupakara petamanan.
3,Ibu Kepala Sekolah kersa nyalirani piyambak ngupakara petamanan.
0,"Yen lunga menyang pasar awanana wae, kira-kira jam sapuluh!"
1,"Yen tindhak menyang pasar panjenenngan awani wae, kira-kira jam sapuluh!"
2,"Yen kesah dhateng peken sampeyan siyangi kemawon,  kinten-kinten pukul sadasa!"
3,"Yen tindhak dhateng peken panjenengnan siyangi kemawon, kinten-kinten pukul sadasa!"
0,Sajrone arep ujian iki dheweke awan bengi sinau wae.
